num_genera	num_genomes	num_bins	num_mappable_bins	mean_completeness	mean_contamination	beta	dropout
10	250	86	40	33.324797733206026	0.2974078214151668	800	0.2
1	250	166	24	28.656769316254014	1.178637507660496	800	0.2
1	25	245	34	23.50621190179706	3.512819030843182	800	0.2
5	50	164	52	42.080460881010026	5.693495429142577	800	0.2
10	25	334	56	15.833097347944518	0.7716195710492214	800	0.2
1	50	146	27	34.8150561639154	14.103664946658698	800	0.2
5	250	97	20	35.70575270617118	0.6616871764176752	800	0.2
5	25	242	41	39.47911542474491	5.103956344800239	800	0.2
10	50	206	66	26.376493251119758	11.139092675267332	800	0.2
