num_genera	num_genomes	num_bins	num_mappable_bins	mean_completeness	mean_contamination	beta	dropout
10	250	23	3	35.11729788159008	0.26986901986901984	800	0.2
1	250	130	8	10.097603470622342	0.030691964285714284	800	0.2
1	25	183	10	3.7447753396029264	0.0	800	0.2
5	50	68	3	45.48476845040019	0.9466617393446662	800	0.2
10	25	181	16	5.879735299924398	0.0	800	0.2
1	50	71	2	3.7291013584117034	1.09717868338558	800	0.2
5	250	55	3	28.01358355342286	0.31643293779216114	800	0.2
5	25	153	5	14.074712643678163	0.0	800	0.2
10	50	100	16	7.450713563672709	0.0	800	0.2
