num_genera	num_genomes	num_bins	num_mappable_bins	mean_completeness	mean_contamination	beta	dropout
10	250	29	7	35.367005127217986	0.38769642045347236	1	0.2
1	250	133	9	11.004557316972559	0.4104235084838533	1	0.2
1	25	189	14	16.133731001228757	1.5130422337472709	1	0.2
5	50	75	8	49.57363812600137	5.219701650171411	1	0.2
10	25	193	20	10.836362116458687	0.22433233365660313	1	0.2
1	50	77	5	35.00035511886059	12.480160933693323	1	0.2
5	250	59	6	31.815141144736057	0.5125126953047944	1	0.2
5	25	158	9	29.10387432450557	2.806890015071287	1	0.2
10	50	107	22	15.176583020909215	4.291655247511721	1	0.2
