num_genera	num_genomes	num_bins	num_mappable_bins	mean_completeness	mean_contamination	beta	dropout
10	250	45	15	34.707669818455194	0.3244881236457156	400	0.2
1	250	139	12	19.340884600455166	0.9483233746883172	400	0.2
1	25	200	16	14.524374866409541	1.3239119545288618	400	0.2
5	50	108	20	43.33399419039303	3.8247734909779596	400	0.2
10	25	282	31	9.774103912944447	0.14473053784296977	400	0.2
1	50	98	9	27.367071190948078	7.763276927518717	400	0.2
5	250	71	10	39.502991075806605	0.7326630888733333	400	0.2
5	25	190	17	36.52214304170916	2.0364327931924766	400	0.2
10	50	143	33	18.24600087991594	5.409018853186766	400	0.2
